steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
0,,36511,131072,1500398464
10911208,,36998,131072,1500345728
21659195,,36998,131072,1500398464
32452867,,37485,131072,1500345728
43320335,,37485,131072,1500345728
53971694,,37485,131072,1500345728
64751885,,37485,131072,1500398464
75794961,,36998,131072,1500345728
86470671,,36998,131072,1500345728
97143197,,36998,131072,1500398464
108456806,,36998,131072,1500345728
119270922,,36998,131072,1500345728
129931115,,36511,131072,1500345728
140656751,,36511,131072,1500398464
151445997,,36024,131072,1500345728
162311464,,36024,131072,1500345728
172907232,,37485,131072,1500345728
183715607,,37485,131072,1500345728
194432966,,36998,131072,1500345728
205152898,,36998,131072,1500345728
216105494,,36511,131072,1500398464
226954665,,36511,131072,1500398464
238430808,,36998,131072,1500398464
249092871,,36998,131072,1500345728
259853636,,36998,131072,1500345728
270566569,,36998,131072,1500398464
281218706,,36998,131072,1500398464
291913602,,36998,131072,1500398464
302656034,,36024,131072,1500398464
313348226,,36024,131072,1500398464
324158657,,36511,131072,1500345728
334921792,,36511,131072,1500345728
345659317,,37972,131072,1500345728
356456748,,37972,131072,1500398464
367277179,,36998,131072,1500345728
379520163,,36998,131072,1500345728
390327631,,36998,131072,1500345728
400981250,,36998,131072,1500398464
411685331,,36511,131072,1500398464
422493225,,36511,131072,1500398464
433144028,,37485,131072,1500345728
443847850,,37485,131072,1500398464
454657522,,36998,131072,1500345728
465297863,,36998,131072,1500345728
476097850,,37972,131072,1500398464
486888614,,37972,131072,1500345728
497605324,,36998,131072,1500345728
508271184,,36998,131072,1500345728
519028115,,36511,131072,1500345728
529656864,,36511,131072,1500345728
540634330,,37485,131072,1500345728
551591166,,37485,131072,1500398464
562391560,,36998,131072,1500398464
573131733,,36998,131072,1500345728
584050885,,36998,131072,1500345728
594842390,,36998,131072,1500398464
605644599,,37972,131072,1500398464
616413160,,37972,131072,1500398464
627215017,,36511,131072,1500398464
637836692,,36511,131072,1500345728
648625235,,37485,131072,1500345728
659488091,,37485,131072,1500345728
670253226,,37485,131072,1500345728
680967659,,37485,131072,1500398464
691677184,,36511,131072,1500398464
702383728,,36511,131072,1500345728
713053772,,36511,131072,1500398464
723791463,,37485,131072,1500345728
734657893,,37485,131072,1500398464
745427844,,37972,131072,1500345728
756104629,,37972,131072,1500345728
766817135,,37485,131072,1500345728
777574345,,37485,131072,1500345728
788392961,,36998,131072,1500398464
799245540,,36998,131072,1500345728
810008490,,38459,131072,1500398464
820652609,,38459,131072,1500345728
831452392,,37485,131072,1500345728
842226397,,37485,131072,1500345728
852902090,,37972,131072,1500345728
863842926,,37972,131072,1500398464
874525248,,36998,131072,1500398464
886847823,,36998,131072,1500345728
897623847,,36998,131072,1500398464
908360705,,36998,131072,1500345728
919116748,,37972,131072,1500345728
929879828,,37972,131072,1500345728
940577835,,37972,131072,1500345728
951495246,,37972,131072,1500345728
962383898,,37972,131072,1500345728
973133182,,37972,131072,1500398464
985754808,,38459,131072,1500398464
996673330,,38459,131072,1500345728
1007455521,,37485,131072,1500345728
1018065937,,37485,131072,1500398464
1028670445,,37485,131072,1500345728
1039403081,,37485,131072,1500345728
1050012404,,37485,131072,1500345728
1060723614,,37485,131072,1500345728
1071552212,,37485,131072,1500398464
1082362180,,37485,131072,1500345728
1093171907,,36998,131072,1500398464
1104093318,,36998,131072,1500345728
1114945304,,37485,131072,1500345728
1125588868,,37485,131072,1500398464
1136303782,,37972,131072,1500345728
1146999400,,37972,131072,1500345728
1157729443,,36998,131072,1500345728
1168575188,,36998,131072,1500398464
1179315139,,37485,131072,1500345728
1191600085,,37485,131072,1500398464
1202267667,,37485,131072,1500398464
1212926730,,37485,131072,1500345728
1223731327,,36511,131072,1500398464
1234413094,,36511,131072,1500345728
1245252932,,37972,131072,1500398464
1256393803,,37972,131072,1500398464
