steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
0,,39433,0,1500345728
12500126,,39920,0,1500345728
23107616,,39920,0,1500398464
33793254,,38946,0,1500345728
44464855,,38946,0,1500345728
54963845,,38946,0,1500398464
65611928,,38946,0,1500345728
76519082,,38946,0,1500398464
87180016,,39433,0,1500345728
97851654,,39433,0,1500398464
108525773,,39433,0,1500398464
119171337,,39433,0,1500398464
129746475,,39433,0,1500345728
140589538,,39433,0,1500345728
151234509,,39920,0,1500345728
161894258,,39920,0,1500398464
172686988,,39433,0,1500345728
183286737,,39433,0,1500398464
193942560,,38459,0,1500398464
204666586,,38459,0,1500398464
215254947,,38946,0,1500398464
225877492,,38946,0,1500345728
236658222,,39433,0,1500345728
247296304,,39433,0,1500345728
257928479,,39433,0,1500345728
268596802,,39433,0,1500345728
279222625,,39433,0,1500345728
289890689,,39433,0,1500398464
300679308,,39920,0,1500398464
311282112,,39920,0,1500398464
321983102,,38946,0,1500398464
332714406,,38946,0,1500398464
343276841,,39433,0,1500398464
353864442,,39433,0,1500345728
364600098,,38946,0,1500398464
375272809,,38946,0,1500398464
386209890,,39433,0,1500345728
396921379,,39433,0,1500345728
407625146,,39920,0,1500398464
418261044,,39920,0,1500345728
429188458,,39920,0,1500345728
439993280,,39433,0,1500398464
450577900,,39433,0,1500398464
461344150,,39920,0,1500345728
472081993,,39920,0,1500398464
482807798,,39433,0,1500398464
493600400,,39433,0,1500398464
504375483,,39920,0,1500398464
515071103,,39920,0,1500345728
525788094,,39920,0,1500345728
536746213,,39920,0,1500345728
548376161,,39920,0,1500398464
558940801,,39920,0,1500398464
569672662,,38459,0,1500345728
580423135,,38459,0,1500398464
591086218,,38946,0,1500345728
601828172,,38946,0,1500345728
612467793,,39433,0,1500398464
623097432,,39433,0,1500345728
633762423,,39920,0,1500345728
645513334,,39920,0,1500345728
656234454,,39920,0,1500345728
666804909,,39920,0,1500398464
677611048,,40407,0,1500398464
688451075,,40407,0,1500345728
699218250,,39433,0,1500345728
709882316,,39433,0,1500345728
720579732,,40407,0,1500345728
731228483,,40407,0,1500398464
741856937,,38459,0,1500345728
752656057,,38459,0,1500345728
763487899,,39433,0,1500398464
774210316,,39433,0,1500345728
785031769,,39920,0,1500398464
795689038,,39920,0,1500398464
806901804,,38946,0,1500398464
817689516,,38946,0,1500345728
828347526,,39920,0,1500345728
840148751,,39920,0,1500345728
850764298,,38946,0,1500345728
861512381,,38946,0,1500345728
872300483,,39920,0,1500345728
