steadyClockTime,cvTime,celcius,throttleStatus,clockSpeed
0,,37485,131072,1500345728
11102028,,36998,131072,1500398464
21990318,,36998,131072,1500398464
32936626,,36998,131072,1500345728
43776269,,36998,131072,1500345728
54946889,,36998,131072,1500345728
66640800,,37485,131072,1500345728
77558220,,37485,131072,1500345728
88228809,,37485,131072,1500398464
100309160,,36998,131072,1500398464
111100581,,36998,131072,1500345728
121895890,,36998,131072,1500398464
132878272,,36998,131072,1500345728
143397233,,36511,131072,1500345728
154143932,,36511,131072,1500345728
164839965,,36511,131072,1500345728
175467184,,37485,131072,1500398464
186229364,,37485,131072,1500398464
196931989,,36511,131072,1500398464
207533171,,36511,131072,1500398464
218294722,,36998,131072,1500345728
228985755,,36998,131072,1500345728
239569715,,36024,131072,1500345728
250255970,,36024,131072,1500398464
261010799,,37485,131072,1500398464
271751628,,37485,131072,1500345728
282575752,,37485,131072,1500398464
293368284,,37485,131072,1500345728
304379424,,37485,131072,1500345728
315119772,,37485,131072,1500398464
325993599,,37485,131072,1500345728
336658188,,37485,131072,1500345728
347417368,,36998,131072,1500398464
358238511,,36998,131072,1500345728
368987543,,36511,131072,1500345728
379603947,,36511,131072,1500398464
390402516,,36998,131072,1500398464
401099457,,36998,131072,1500345728
411891359,,37972,131072,1500345728
422711816,,37972,131072,1500345728
433511756,,36024,131072,1500345728
444139604,,36024,131072,1500398464
454921692,,36998,131072,1500345728
465626410,,36998,131072,1500345728
476296536,,37485,131072,1500398464
487056271,,37485,131072,1500345728
497822489,,36511,131072,1500345728
508561521,,36511,131072,1500345728
519204499,,37485,131072,1500345728
529955606,,37485,131072,1500345728
540695323,,36998,131072,1500345728
551254987,,36998,131072,1500398464
561993483,,37485,131072,1500398464
572667257,,37485,131072,1500398464
583332864,,36998,131072,1500345728
594169414,,36998,131072,1500398464
604903317,,36998,131072,1500345728
615520165,,36511,131072,1500345728
626188384,,36511,131072,1500345728
636961286,,36998,131072,1500398464
647555432,,36998,131072,1500345728
658349723,,36024,131072,1500345728
669108329,,36024,131072,1500345728
679707826,,37972,131072,1500345728
690432970,,37972,131072,1500345728
701133633,,36998,131072,1500345728
711779889,,36998,131072,1500345728
722626809,,37485,131072,1500345728
733457155,,37485,131072,1500345728
744143077,,36511,131072,1500398464
754884777,,36511,131072,1500345728
765740382,,36511,131072,1500398464
776567636,,36511,131072,1500398464
787366112,,36998,131072,1500345728
798091793,,36998,131072,1500345728
808848992,,36511,131072,1500398464
819473470,,36511,131072,1500345728
830421501,,37972,131072,1500345728
841180737,,37972,131072,1500345728
851801734,,37972,131072,1500398464
862455508,,37972,131072,1500345728
873120430,,38459,131072,1500398464
883659224,,38459,131072,1500345728
894304702,,37972,131072,1500345728
904948828,,37972,131072,1500398464
